ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,number_of_tastes
1315,A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70.0,3.5,4,1,1,0,1,0,1,0,nutty,3
1315,A. Morin,France,2014,Venezuela,"Carenero, Criollo",70.0,2.75,4,1,1,0,1,0,1,0,harsh,3
1680,A. Morin,France,2015,Togo,Akata,70.0,3.5,4,1,1,0,1,0,1,0,mild profile,3
1704,A. Morin,France,2015,Peru,Quilla,70.0,3.5,4,1,1,0,1,0,1,0,grainy texture,3
1676,A. Morin,France,2015,Togo,Atsane,70.0,3.0,4,1,1,0,1,0,1,0,roasty,3
1676,A. Morin,France,2015,Togo,Kpime,70.0,2.75,4,1,1,0,1,0,1,0,burnt wood,3
1876,A. Morin,France,2016,Sao tome,Agua Grande,63.0,3.75,4,1,1,0,1,0,1,0,sweet,3
2206,A. Morin,France,2018,Peru,Absolu,63.0,3.75,4,1,1,0,1,0,1,0,sweet,4
2206,A. Morin,France,2018,Venezuela,Porcelana,70.0,3.5,4,1,1,0,1,0,1,0,alluring aroma,3
1462,Acalli,U.S.A,2015,Peru,"Chulucanas, El Platanal, batch 001",70.0,3.75,2,1,0,0,0,0,1,0,yellow fruit,1
1470,Acalli,U.S.A,2015,Peru,"Tumbes, Norandino",70.0,3.75,2,1,0,0,0,0,1,0,intense,4
2470,Acalli,U.S.A,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70.0,3.5,2,1,0,0,0,0,1,0,hot cocoa,3
2462,Acalli,U.S.A,2020,Mexico,"Teapa, Tabasco, batch 2",74.0,3.25,2,1,0,0,0,0,1,0,herbal,3
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88.0,3.5,3,1,1,0,0,0,1,0,orange,3
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72.0,3.5,3,1,1,0,0,0,1,0,cocoa and powerful tang,1
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80.0,3.25,3,1,1,0,0,0,1,0,spicy and candy-like,1
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60.0,2.75,3,1,1,0,0,0,1,0,sweet,2
2438,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70.0,3.0,2,1,0,0,0,0,1,0,sandy,4
2438,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70.0,2.75,2,1,0,0,0,0,1,0,basic,4
2442,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70.0,2.75,2,1,0,0,0,0,1,0,sweet,3
2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70.0,2.5,2,1,0,0,0,0,1,0,unrefined,3
370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70.0,3.0,4,1,1,1,0,0,1,0,roasty,3
370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55.0,2.75,4,1,1,1,0,0,1,0,sandy,3
316,Ah Cacao,Mexico,2009,Mexico,Tabasco,70.0,3.0,3,1,1,0,0,0,1,0,gritty,3
502,Akesson's (Pralus),Switzerland,2010,Madagascar,"Madagascar, Ambolikapiky P.",75.0,2.75,4,1,1,0,1,0,1,0,strong pepper,2
508,Akesson's (Pralus),Switzerland,2010,Brazil,"Monte Alegre, D. Badero",75.0,2.75,4,1,1,0,1,0,1,0,fatty,3
636,Akesson's (Pralus),Switzerland,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75.0,3.75,4,1,1,0,1,0,1,0,hay,3
1061,Alain Ducasse,France,2013,Venezuela,Chuao,75.0,2.5,5,1,1,1,1,0,1,0,sandy,3
1173,Alain Ducasse,France,2013,Peru,"Piura, Perou",75.0,2.5,5,1,1,1,1,0,1,0,cardboard,3
1215,Alain Ducasse,France,2014,Madagascar,Madagascar,75.0,3.0,5,1,1,1,0,1,1,0,citrus,3
1215,Alain Ducasse,France,2014,Trinidad,Trinite,65.0,2.75,6,1,1,1,1,1,1,0,roasty,3
1215,Alain Ducasse,France,2014,Vietnam,Vietnam,75.0,2.75,5,1,1,1,0,1,1,0,nutty,3
1992,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75.0,3.5,6,1,1,1,1,1,1,0,strawberry,3
1944,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70.0,3.5,3,1,1,0,0,0,1,0,sandy,3
1944,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70.0,3.5,3,1,1,0,0,0,1,0,sandy,3
1944,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70.0,3.5,3,1,1,0,0,0,1,0,sandy,3
1944,Alexandre,Netherlands,2017,Vietnam,Tien Giang,70.0,3.5,3,1,1,0,0,0,1,0,sandy,3
1129,Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 101",80.0,3.25,4,1,1,0,1,0,1,0,gritty,3
1133,Altus aka Cao Artisan,U.S.A,2013,Peru,"Peru, batch 148",60.0,3.25,4,1,1,0,1,0,1,0,gritty,3
1125,Altus aka Cao Artisan,U.S.A,2013,Dominican republic,"Conacado, batch 130",60.0,3.0,4,1,1,0,1,0,1,0,sandy,4
1133,Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 154",60.0,3.0,4,1,1,0,1,0,1,0,grit,4
1125,Altus aka Cao Artisan,U.S.A,2013,Venezuela,Sur del Lago,60.0,2.5,4,1,1,0,1,0,1,0,sweet,3
1728,Altus aka Cao Artisan,U.S.A,2016,Peru,Acopagro,60.0,3.0,3,1,1,0,0,0,1,0,dry,3
1728,Altus aka Cao Artisan,U.S.A,2016,Nicaragua,Momotombo,60.0,2.75,3,1,1,0,0,0,1,0,powdery,3
1732,Altus aka Cao Artisan,U.S.A,2016,Ecuador,Gruppo Salinas,60.0,2.75,3,1,1,0,0,0,1,0,sandy,4
1732,Altus aka Cao Artisan,U.S.A,2016,Bolivia,CIAAB Coop,60.0,2.5,3,1,1,0,0,0,1,0,sandy,3
1732,Altus aka Cao Artisan,U.S.A,2016,Peru,Villa Andina,60.0,2.5,3,1,1,0,0,0,1,0,sandy,4
2044,Altus aka Cao Artisan,U.S.A,2018,Dominican republic,Oko Caribe,70.0,3.0,3,1,1,0,0,0,1,0,sweet,3
175,Amano,U.S.A,2007,Venezuela,Ocumare,70.0,3.75,4,1,1,1,0,0,1,0,spicy,2
129,Amano,U.S.A,2007,Madagascar,Madagascar,70.0,3.5,4,1,1,1,0,0,1,0,spice,4
147,Amano,U.S.A,2007,Venezuela,Cuyagua,70.0,3.0,4,1,1,1,0,0,1,0,waxy,3
304,Amano,U.S.A,2008,Indonesia,"Bali, Jembrana",70.0,2.75,4,1,1,1,0,0,1,0,sticky,3
363,Amano,U.S.A,2009,Venezuela,Montanya,70.0,3.0,4,1,1,1,0,0,1,0,hot spice,2
470,Amano,U.S.A,2010,Ecuador,Guayas,70.0,4.0,4,1,1,1,0,0,1,0,strong spice,2
470,Amano,U.S.A,2010,Dominican republic,Dos Rios,70.0,3.75,4,1,1,1,0,0,1,0,orange,2
544,Amano,U.S.A,2010,Venezuela,Chuao,70.0,3.0,4,1,1,1,0,0,1,0,woody,3
725,Amano,U.S.A,2011,Papua new guinea,Morobe,70.0,4.0,4,1,1,1,0,0,1,0,tart,3
322,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70.0,3.0,2,1,0,0,0,0,1,0,dry,3
464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85.0,3.0,2,1,0,0,0,0,1,0,roasty,3
327,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70.0,2.75,2,1,0,0,0,0,1,0,waxy mouthfeel,2
464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85.0,2.75,2,1,0,0,0,0,1,0,fatty,3
1145,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.5,3,1,1,0,0,0,1,0,oily,4
1145,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.25,3,1,1,0,0,0,1,0,oily,4
1498,Ambrosia,Canada,2015,Peru,Peru,68.0,3.5,2,1,0,0,0,0,1,0,rich,3
1494,Ambrosia,Canada,2015,Madagascar,Madagascar,66.0,3.25,2,1,0,0,0,0,1,0,fruity,2
1498,Ambrosia,Canada,2015,Dominican republic,Dominican Republic,75.0,3.25,2,1,0,0,0,0,1,0,high roast,2
1498,Ambrosia,Canada,2015,Papua new guinea,Papua New Guinea,63.0,3.25,2,1,0,0,0,0,1,0,smokey,2
1498,Ambrosia,Canada,2015,Venezuela,Venezuela,70.0,3.25,2,1,0,0,0,0,1,0,sandy,3
1494,Ambrosia,Canada,2015,Belize,Belize,64.0,3.0,4,1,1,0,1,0,1,0,roasty,3
75,Amedei,Italy,2006,Blend,Toscano Black,66.0,3.75,4,1,1,1,0,0,1,0,red wine,3
123,Amedei,Italy,2007,Venezuela,Venezuela,70.0,3.75,4,1,1,1,0,0,1,0,creamy,3
123,Amedei,Italy,2007,Grenada,Grenada,70.0,3.5,4,1,1,1,0,0,1,0,fruity with coffee notes,1
129,Amedei,Italy,2007,Trinidad,Trinidad,70.0,3.5,4,1,1,1,0,0,1,0,coffee,3
170,Amedei,Italy,2007,Blend,Toscano Black,63.0,3.5,4,1,1,1,0,0,1,0,fatty,4
123,Amedei,Italy,2007,Ecuador,Ecuador,70.0,3.0,4,1,1,1,0,0,1,0,creamy,3
123,Amedei,Italy,2007,Jamaica,Jamaica,70.0,3.0,4,1,1,1,0,0,1,0,sandy,3
979,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70.0,3.75,4,1,1,1,0,0,1,0,creamy,3
2092,Amedei,Italy,2018,Blend,Nine,75.0,3.5,4,1,1,1,0,0,1,0,sweet,3
2088,Amedei,Italy,2018,Madagascar,Madagascar,70.0,3.0,4,1,1,1,0,0,1,0,vanilla,3
2088,Amedei,Italy,2018,Venezuela,Chuao,70.0,3.0,4,1,1,1,0,0,1,0,vanilla,3
2092,Amedei,Italy,2018,Venezuela,Porcelana,70.0,3.0,4,1,1,1,0,0,1,0,nutty,3
2434,Amedei,Italy,2019,Blend,Toscano Black,70.0,2.75,3,1,1,0,0,0,1,0,nut,4
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,4,1,1,0,1,0,1,0,creamy,4
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50.0,3.75,4,1,1,0,1,0,1,0,very sweet,3
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75.0,3.75,4,1,1,0,1,0,1,0,roasty,4
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85.0,2.75,4,1,1,0,1,0,1,0,creamy,3
1065,AMMA,Brazil,2013,Brazil,Catongo,75.0,3.25,4,1,1,0,1,0,1,0,grainy,3
1259,Anahata,U.S.A,2014,Dominican republic,Elvesia,75.0,3.0,2,1,0,0,0,0,1,0,chalky,3
1852,Animas,U.S.A,2016,Bolivia,Alto Beni,75.0,3.5,2,1,0,0,0,0,1,0,light roast,3
1375,Ara,France,2014,Madagascar,Madagascar,75.0,3.0,3,1,1,0,0,0,1,0,sandy,3
1379,Ara,France,2014,Venezuela,Trincheras,75.0,3.0,3,1,1,0,0,0,1,0,nutty,3
1379,Ara,France,2014,Ecuador,Equateur,75.0,2.75,3,1,1,0,0,0,1,0,bitter,3
1379,Ara,France,2014,Mexico,Chiapas,72.0,2.5,3,1,1,0,0,0,1,0,earthy,3
1598,Arete,U.S.A,2015,Nicaragua,Chuno,70.0,4.0,2,1,0,0,0,0,1,0,creamy,3
1534,Arete,U.S.A,2015,Ecuador,"Puerto Quito, heirloom",70.0,3.75,2,1,0,0,0,0,1,0,spicy,2
1598,Arete,U.S.A,2015,Belize,Maya Mountain,70.0,3.75,2,1,0,0,0,0,1,0,floral,3
1534,Arete,U.S.A,2015,Brazil,Fazenda Camboa,70.0,3.5,2,1,0,0,0,0,1,0,creamy,4
1534,Arete,U.S.A,2015,Peru,Nacional,68.0,3.5,2,1,0,0,0,0,1,0,floral,3
1598,Arete,U.S.A,2015,Dominican republic,Oko Caribe,70.0,3.5,2,1,0,0,0,0,1,0,spicy,3
1602,Arete,U.S.A,2015,Ecuador,Camino Verde,75.0,3.5,3,1,1,0,0,0,1,0,intense,3
1602,Arete,U.S.A,2015,Guatemala,Guatemala,70.0,3.25,2,1,0,0,0,0,1,0,strawberry,3
1602,Arete,U.S.A,2015,Brazil,Fazenda Camboa,75.0,2.75,2,1,0,0,0,0,1,0,floral,2
1908,Arete,U.S.A,2016,Costa rica,"Coto Brus, Terciopelo",70.0,4.0,2,1,0,0,0,0,1,0,balanced,3
1924,Arete,U.S.A,2016,Peru,Phantom,70.0,4.0,2,1,0,0,0,0,1,0,creamy,3
1724,Arete,U.S.A,2016,Tanzania,Kokoa Kamili,70.0,3.75,2,1,0,0,0,0,1,0,appealing smoke,2
1904,Arete,U.S.A,2016,Nicaragua,Rugoso,70.0,3.75,3,1,1,0,0,0,1,0,muddy,3
1928,Arete,U.S.A,2016,Dominican republic,Elvesia,70.0,3.75,2,1,0,0,0,0,1,0,dark berry,2
1724,Arete,U.S.A,2016,Trinidad,San Juan,70.0,3.5,2,1,0,0,0,0,1,0,delicate,2
1900,Arete,U.S.A,2016,Vietnam,Tien Giang,73.0,3.5,3,1,1,0,0,0,1,0,cashew,3
1904,Arete,U.S.A,2016,Guatemala,Lachua,70.0,3.5,2,1,0,0,0,0,1,0,subtle,2
1908,Arete,U.S.A,2016,Honduras,"La Masica, FHIA",70.0,3.5,2,1,0,0,0,0,1,0,nutty,2
1904,Arete,U.S.A,2016,Ecuador,Hacienda Victoria,70.0,3.25,3,1,1,0,0,0,1,0,sticky,3
1904,Arete,U.S.A,2016,Ecuador,Costa Esmeraldas,70.0,3.25,3,1,1,0,0,0,1,0,chewy,2
1928,Arete,U.S.A,2016,Fiji,Matasawalevu,70.0,3.25,2,1,0,0,0,0,1,0,smoke,3
1928,Arete,U.S.A,2016,Vietnam,Lam Dong,73.0,3.25,2,1,0,0,0,0,1,0,earthy,3
2024,Arete,U.S.A,2017,Bolivia,Beniano,70.0,4.0,2,1,0,0,0,0,1,0,creamy,2
2028,Arete,U.S.A,2017,Haiti,Pisa,70.0,4.0,2,1,0,0,0,0,1,0,long lasting,2
2020,Arete,U.S.A,2017,India,Anamalai,70.0,3.5,2,1,0,0,0,0,1,0,slight roasty,2
2020,Arete,U.S.A,2017,Madagascar,Sambirano Valley,70.0,3.5,3,1,1,0,0,0,1,0,sour fruit,1
2020,Arete,U.S.A,2017,Vietnam,Ben Tre,73.0,3.5,3,1,1,0,0,0,1,0,rich cocoa,2
2028,Arete,U.S.A,2017,Peru,Ucayali,70.0,3.5,3,1,1,0,0,0,1,0,dried fruit,3
2254,Arete,U.S.A,2018,Colombia,Tumaco,70.0,4.0,2,1,0,0,0,0,1,0,smooth,3
2068,Arete,U.S.A,2018,Trinidad,Ramnath E.,70.0,3.0,2,1,0,0,0,0,1,0,nuts,3
2330,Arete,U.S.A,2019,India,Jangareddygudem,70.0,3.25,3,1,1,0,0,0,1,0,herbs,3
2450,Arete,U.S.A,2019,India,Idukki,70.0,3.0,3,1,1,0,0,0,1,0,burn butterscotch,2
2162,Argencove,Nicaragua,2018,Nicaragua,Mombacho,70.0,3.5,2,1,0,0,0,0,1,0,smooth,2
2162,Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70.0,3.5,2,1,0,0,0,0,1,0,roasty,2
2162,Argencove,Nicaragua,2018,Nicaragua,Masaya,70.0,3.25,2,1,0,0,0,0,1,0,melon,2
2166,Argencove,Nicaragua,2018,Nicaragua,Apoyo,70.0,3.0,2,1,0,0,0,0,1,0,cocoa,3
300,Artisan du Chocolat,U.k.,2008,Congo,Congo,72.0,3.75,3,1,1,0,0,0,1,0,spicy,3
363,Artisan du Chocolat,U.k.,2009,Dominican republic,Dominican Republic,72.0,3.25,3,1,1,0,0,0,1,0,spice,3
363,Artisan du Chocolat,U.k.,2009,Madagascar,Madagascar,80.0,3.0,3,1,1,0,0,0,1,0,sl. bitter,3
363,Artisan du Chocolat,U.k.,2009,Peru,Peru,75.0,3.0,3,1,1,0,0,0,1,0,spicey,2
355,Artisan du Chocolat,U.k.,2009,Indonesia,Java,72.0,2.75,3,1,1,0,0,0,1,0,gritty,3
355,Artisan du Chocolat,U.k.,2009,Venezuela,"Ocumare, Venezuela",75.0,2.5,3,1,1,0,0,0,1,0,oily,4
363,Artisan du Chocolat,U.k.,2009,Brazil,Brazil Rio Doce,72.0,1.75,3,1,1,0,0,0,1,0,cocoa,2
531,Artisan du Chocolat,U.k.,2010,Jamaica,Jamaica,72.0,3.75,3,1,1,0,0,0,1,0,grassy,3
600,Artisan du Chocolat,U.k.,2010,Indonesia,Bali,72.0,3.5,3,1,1,0,0,0,1,0,black pepper and banana,1
600,Artisan du Chocolat,U.k.,2010,Costa rica,Costa Rica,72.0,3.25,3,1,1,0,0,0,1,0,chewy,3
600,Artisan du Chocolat,U.k.,2010,Vietnam,Ba Ria Vung Tau Province,72.0,3.25,3,1,1,0,0,0,1,0,unrefined,2
729,Artisan du Chocolat,U.k.,2011,Haiti,Haiti,72.0,4.0,3,1,1,0,0,0,1,0,nuts,3
745,Artisan du Chocolat,U.k.,2011,Panama,Panama,72.0,2.75,3,1,1,0,0,0,1,0,blackpepper,3
947,Artisan du Chocolat,U.k.,2012,Colombia,"Colombia, Casa Luker",72.0,3.75,3,1,1,0,0,0,1,0,marshmallow,3
1193,Artisan du Chocolat,U.k.,2013,Trinidad,"Trinidad, Heritage, Limited ed.",72.0,3.25,3,1,1,0,0,0,1,0,gritty,2
1181,Artisan du Chocolat (Casa Luker),U.k.,2013,Colombia,"Orinoqua Region, Arauca",72.0,2.75,4,1,1,0,1,0,1,0,creamy,3
175,Askinosie,U.S.A,2007,Ecuador,San Jose del Tambo,70.0,3.0,2,1,0,0,0,0,1,0,smooth,3
141,Askinosie,U.S.A,2007,Mexico,Xoconusco,75.0,2.5,2,1,0,0,0,0,1,0,leather,3
331,Askinosie,U.S.A,2009,Philippines,Davao,77.0,3.75,2,1,0,0,0,0,1,0,strawberries,3
647,Askinosie,U.S.A,2011,Tanzania,"Tenende, Uwate",72.0,3.75,2,1,0,0,0,0,1,0,creamy,3
661,Askinosie,U.S.A,2011,Honduras,Cortes,70.0,3.75,2,1,0,0,0,0,1,0,grapes,3
1780,Askinosie,U.S.A,2016,Tanzania,Mababa,68.0,3.75,3,1,1,0,0,0,1,0,creamy,3
2434,Atypic,Australia,2019,Solomon islands,Solomon Islands,70.0,3.0,4,1,1,0,1,0,1,0,off aroma,4
2056,Auro,Philippines,2018,Philippines,"Saloy E., 2016",70.0,3.5,3,1,1,0,0,0,1,0,long,4
2056,Auro,Philippines,2018,Philippines,"Paquibao E., 2016",70.0,3.0,3,1,1,0,0,0,1,0,waxy,2
2056,Auro,Philippines,2018,Philippines,South Cotabato,70.0,3.0,3,1,1,0,0,0,1,0,sandy,3
2056,Auro,Philippines,2018,Philippines,Davao,77.0,2.75,4,1,0,1,1,0,1,0,sandy,2
995,Bahen & Co.,Australia,2012,Madagascar,Sambirano,70.0,3.0,2,1,0,0,0,0,1,0,unrefined,3
999,Bahen & Co.,Australia,2012,Brazil,Bahia,70.0,2.5,2,1,0,0,0,0,1,0,chalky,3
999,Bahen & Co.,Australia,2012,Blend,Houseblend,70.0,2.5,2,1,0,0,0,0,1,0,chalky,3
1474,Bahen & Co.,Australia,2015,Papua new guinea,Papua New Guinea,70.0,3.5,2,1,0,0,0,0,1,0,smoke,3
1474,Bahen & Co.,Australia,2015,Blend,Houseblend,80.0,3.25,2,1,0,0,0,0,1,0,coarse,3
2146,Baiani,Brazil,2018,Brazil,"Bahia, Vale Potumujo",70.0,3.0,2,1,0,0,0,0,1,0,bland,3
1454,Bakau,Peru,2015,Peru,"Huallabamba, 2015",70.0,3.5,3,1,1,0,0,0,1,0,black pepper,2
1454,Bakau,Peru,2015,Peru,"Bambamarca, 2015",70.0,2.75,3,1,1,0,0,0,1,0,molasses,3
2294,Bankston,U.S.A,2019,Tanzania,Kokoa Kamili,72.0,3.25,3,1,1,0,0,0,1,0,base cocoa,3
2294,Bankston,U.S.A,2019,Uganda,Uganda,82.0,2.75,3,1,1,0,0,0,1,0,bitter,3
2290,Bankston,U.S.A,2019,Belize,Belize,72.0,2.5,3,1,1,0,0,0,1,0,gritty,4
983,Bar Au Chocolat,U.S.A,2012,Madagascar,Sambirano,70.0,3.75,2,1,0,0,0,0,1,0,raspberry,2
983,Bar Au Chocolat,U.S.A,2012,Mexico,Chiapas,70.0,3.5,2,1,0,0,0,0,1,0,molasses,3
983,Bar Au Chocolat,U.S.A,2012,Dominican republic,Duarte Province,70.0,3.25,2,1,0,0,0,0,1,0,complex,3
1295,Bar Au Chocolat,U.S.A,2014,Peru,Maranon Canyon,70.0,4.0,2,1,0,0,0,0,1,0,creamy,3
1554,Bar Au Chocolat,U.S.A,2015,Brazil,Bahia,70.0,3.5,2,1,0,0,0,0,1,0,intense,3
1980,Bar Au Chocolat,U.S.A,2017,Costa rica,"Turrialba, Cartago P.",72.0,3.5,2,1,0,0,0,0,1,0,slightly dry,3
1980,Bar Au Chocolat,U.S.A,2017,Trinidad,Montserrat Hills,80.0,3.5,2,1,0,0,0,0,1,0,intense,3
955,Baravelli's,Wales,2012,Costa rica,single estate,80.0,2.75,4,1,1,1,0,0,1,0,gritty,3
1868,Batch,U.S.A,2016,Brazil,Brazil,70.0,3.75,3,1,1,0,0,0,1,0,strawberry,2
1840,Batch,U.S.A,2016,Dominican republic,"Dominican Republic, Batch 3",65.0,3.5,3,1,1,0,0,0,1,0,creamy,3
1880,Batch,U.S.A,2016,Ecuador,Ecuador,65.0,3.25,3,1,1,0,0,0,1,0,sandy,3
2374,Bean,U.k.,2019,Peru,Peru,70.0,2.25,4,1,1,1,0,0,1,0,strong vanilla,2
1948,Beau Cacao,U.k.,2017,Malaysia,"Serian E., NW Borneo, b. #134/3800",72.0,3.25,3,1,1,0,0,0,1,0,smokey,3
1948,Beau Cacao,U.k.,2017,Malaysia,"Asajaya E, NW Borneo, b. #132/4500",73.0,3.0,3,1,1,0,0,0,1,0,caramel,3
1784,Beehive,U.S.A,2016,Brazil,"Brazil, Batch 20316",80.0,2.75,3,1,1,0,0,0,1,0,intense,3
1784,Beehive,U.S.A,2016,Dominican republic,"Dominican Republic, Batch 31616",70.0,2.75,3,1,1,0,0,0,1,0,sandy,3
1784,Beehive,U.S.A,2016,Ecuador,"Ecuador, Batch 31516",70.0,2.75,3,1,1,0,0,0,1,0,intense,3
1788,Beehive,U.S.A,2016,Ecuador,Ecuador,90.0,2.75,3,1,1,0,0,0,1,0,intense floral,3
586,Belcolade,Belgium,2010,Ecuador,Ecuador,71.0,3.5,4,1,1,0,1,0,1,0,dry,3
586,Belcolade,Belgium,2010,Costa rica,Costa Rica,64.0,2.75,4,1,1,0,1,0,1,0,pastey,2
586,Belcolade,Belgium,2010,Papua new guinea,Papua New Guinea,64.0,2.75,4,1,1,0,1,0,1,0,intense,2
586,Belcolade,Belgium,2010,Peru,Peru,64.0,2.75,4,1,1,0,1,0,1,0,sticky,3
1800,Bellflower,U.S.A,2016,Tanzania,"Kokao Kamili, Kilombero Valley",70.0,3.5,3,1,1,0,0,0,1,0,sticky,3
1864,Bellflower,U.S.A,2016,Dominican republic,"Oko Caribe, Duarte P.",70.0,3.5,2,1,0,0,0,0,1,0,caramel,2
1804,Bellflower,U.S.A,2016,Bolivia,"Alto Beni, Palos Blanco",70.0,3.25,3,1,1,0,0,0,1,0,oily,3
2190,Belvie,Vietnam,2018,Vietnam,Lam Dong,75.0,3.25,3,1,1,0,0,0,1,0,high acidity,3
1768,Belyzium,Germany,2016,Belize,Belize south,83.0,3.5,3,1,1,0,0,0,1,0,balanced,3
1768,Belyzium,Germany,2016,Belize,Belize south,78.0,3.0,3,1,1,0,0,0,1,0,sweet,3
1768,Belyzium,Germany,2016,Belize,"Belize south, low fermentation",83.0,2.75,3,1,1,0,0,0,1,0,unbalanced,3
2246,Benns,Singapore,2018,Vietnam,Vung Tau,72.0,3.0,4,1,1,0,1,0,1,0,gummy,3
2246,Benns,Singapore,2018,India,"Anamalai, 2018 harvest",72.0,3.0,4,1,1,0,1,0,1,0,gummy,3
2246,Benns,Singapore,2018,Malaysia,"Sungai Ruan, Koh Farm",72.0,3.0,4,1,1,0,1,0,1,0,off aroma,3
757,Benoit Nihant,Belgium,2011,Indonesia,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",72.0,4.0,3,1,1,0,0,0,1,0,smokey,3
773,Benoit Nihant,Belgium,2011,Madagascar,"Somia Plantation, Sambirano, 70hr C",72.0,3.75,3,1,1,0,0,0,1,0,intense,3
